id,distance,time,from_airport,to_airport
203,427,NULL,2397,2435
204,716,NULL,2397,6016
205,567,NULL,2397,2422
206,620,NULL,2397,3994
207,356,NULL,2397,6021
208,283,NULL,2397,4199
209,263,NULL,2397,6018
210,851,NULL,2397,2404
211,284,NULL,4002,4206
212,304,NULL,4002,2397
213,237,NULL,4204,4206
214,768,NULL,4204,2397
215,3208,NULL,3364,2430
216,584,NULL,2433,2397
217,302,NULL,2433,4199
218,2165,NULL,3406,2430
219,2374,NULL,3316,2397
220,427,NULL,2435,2397
221,716,NULL,6016,2397
222,153,NULL,2422,4206
223,567,NULL,2422,2397
224,620,NULL,3994,2397
225,356,NULL,6021,2397
226,283,NULL,4199,2397
227,302,NULL,4199,2433
228,263,NULL,6018,2397
229,431,NULL,2404,4206
230,396,NULL,2404,4090
231,150,NULL,2404,6013
232,851,NULL,2404,2397
233,279,NULL,1582,1587
234,209,NULL,1582,1613
235,313,NULL,674,1587
236,279,NULL,1587,1582
237,313,NULL,1587,674
238,209,NULL,1613,1582
239,299,NULL,5726,3830
240,235,NULL,5726,3678
241,251,NULL,4042,3830
242,177,NULL,4042,3678
243,299,NULL,3830,5726
244,251,NULL,3830,4042
245,235,NULL,3678,5726
246,177,NULL,3678,4042
247,31,NULL,7144,7145
248,91,NULL,7144,3808
249,31,NULL,7145,7144
250,60,NULL,7145,3808
251,63,NULL,7147,3808
252,91,NULL,3808,7144
253,60,NULL,3808,7145
254,63,NULL,3808,7147
255,26,NULL,3808,7146
256,26,NULL,7146,3808
257,178,NULL,5506,5504
258,97,NULL,5506,6727
259,157,NULL,5512,154
260,184,NULL,62,5496
261,714,NULL,62,6727
262,950,NULL,62,146
263,184,NULL,5496,62
264,167,NULL,5496,5529
265,159,NULL,5496,5515
266,1127,NULL,5496,146
267,178,NULL,5504,5506
268,119,NULL,5504,5535
269,84,NULL,5481,5508
270,115,NULL,5481,5499
271,232,NULL,5481,154
272,947,NULL,80,111
273,379,NULL,80,154
274,209,NULL,80,161
275,510,NULL,80,202
276,181,NULL,5520,6727
277,234,NULL,5520,5515
278,565,NULL,5520,154
279,84,NULL,5508,5481
280,72,NULL,5508,6728
281,149,NULL,5508,154
282,97,NULL,6727,5506
283,714,NULL,6727,62
284,181,NULL,6727,5520
285,550,NULL,6727,154
286,252,NULL,6727,5535
287,947,NULL,111,80
288,232,NULL,111,146
289,115,NULL,5499,5481
290,137,NULL,5499,7253
291,167,NULL,5529,5496
292,167,NULL,5529,5515
293,72,NULL,6728,5508
294,109,NULL,6728,154
295,159,NULL,5515,5496
296,234,NULL,5515,5520
297,167,NULL,5515,5529
298,950,NULL,146,62
299,1127,NULL,146,5496
300,232,NULL,146,111
301,157,NULL,154,5512
302,232,NULL,154,5481
303,379,NULL,154,80
304,565,NULL,154,5520
305,550,NULL,154,6727
306,109,NULL,154,6728
307,137,NULL,7253,5499
308,206,NULL,7253,5535
309,209,NULL,161,80
310,302,NULL,161,202
311,119,NULL,5535,5504
312,252,NULL,5535,6727
313,206,NULL,5535,7253
314,510,NULL,202,80
315,302,NULL,202,161
316,8408,NULL,2006,3316
317,1416,NULL,3885,3316
318,2648,NULL,3370,3316
319,2182,NULL,4120,3316
320,2218,NULL,3199,3316
321,3650,NULL,3386,3316
322,2565,NULL,3077,3316
323,980,NULL,3179,3316
324,1703,NULL,3992,2276
325,297,NULL,3304,3316
326,2535,NULL,3121,3316
327,2374,NULL,2397,3316
328,3665,NULL,3387,3316
329,602,NULL,3308,3316
330,3910,NULL,3351,3316
331,1137,NULL,3034,3316
332,235,NULL,3035,3034
333,1931,NULL,3239,3316
334,1092,NULL,3205,3316
335,8408,NULL,3316,2006
336,1416,NULL,3316,3885
337,2648,NULL,3316,3370
338,2182,NULL,3316,4120
339,2218,NULL,3316,3199
340,3650,NULL,3316,3386
341,2565,NULL,3316,3077
342,980,NULL,3316,3179
343,297,NULL,3316,3304
344,2535,NULL,3316,3121
345,2374,NULL,3316,2397
346,3665,NULL,3316,3387
347,602,NULL,3316,3308
348,3910,NULL,3316,3351
349,1137,NULL,3316,3034
350,1341,NULL,3316,3035
351,1931,NULL,3316,3239
352,1092,NULL,3316,3205
353,2807,NULL,3316,4302
354,3222,NULL,3316,2276
355,2807,NULL,4302,3316
356,1703,NULL,2276,3992
357,3222,NULL,2276,3316
358,448,NULL,345,382
359,448,NULL,382,345
360,453,NULL,382,1609
361,663,NULL,382,342
362,606,NULL,382,351
363,528,NULL,382,1613
364,453,NULL,1609,382
365,663,NULL,342,382
366,606,NULL,351,382
367,528,NULL,1613,382
368,83,NULL,5734,4058
369,2022,NULL,580,5673
370,2026,NULL,580,1080
371,1226,NULL,1218,1074
372,831,NULL,1218,5673
373,930,NULL,1218,1080
374,2010,NULL,1525,1074
375,2182,NULL,302,1074
376,1869,NULL,302,5673
377,1881,NULL,302,1080
378,1945,NULL,344,5673
379,1226,NULL,1074,1218
380,2010,NULL,1074,1525
381,2182,NULL,1074,302
382,1804,NULL,1074,1534
383,1747,NULL,1074,1335
384,1513,NULL,1074,1359
385,3349,NULL,1074,4317
386,2168,NULL,1074,1539
387,1804,NULL,1534,1074
388,1747,NULL,1335,1074
389,1513,NULL,1359,1074
390,1127,NULL,1359,5673
391,1213,NULL,1359,1080
392,2022,NULL,5673,580
393,831,NULL,5673,1218
394,1869,NULL,5673,302
395,1945,NULL,5673,344
396,1127,NULL,5673,1359
397,3349,NULL,4317,1074
398,2026,NULL,1080,580
399,930,NULL,1080,1218
400,1881,NULL,1080,302
401,1213,NULL,1080,1359
402,2168,NULL,1539,1074
403,194,NULL,2895,2896
404,119,NULL,2895,2897
405,334,NULL,2895,2746
406,194,NULL,2896,2895
407,119,NULL,2897,2895
408,334,NULL,2746,2895
409,2986,NULL,6148,4029
410,2615,NULL,2980,4029
411,2986,NULL,4029,6148
412,2615,NULL,4029,2980
413,2982,NULL,4029,6149
414,2775,NULL,4029,6153
415,1743,NULL,4029,6089
416,2921,NULL,4029,6150
417,2760,NULL,4029,2981
418,2001,NULL,4029,1743
419,2985,NULL,4029,6154
420,2982,NULL,6149,4029
421,2775,NULL,6153,4029
422,1743,NULL,6089,4029
423,2921,NULL,6150,4029
424,2760,NULL,2981,4029
425,2001,NULL,1743,4029
426,2985,NULL,6154,4029
427,194,NULL,2878,2881
428,63,NULL,2878,2893
429,277,NULL,1897,1762
430,194,NULL,2881,2878
431,228,NULL,2881,6460
432,896,NULL,2881,1762
433,259,NULL,2881,2879
434,228,NULL,6460,2881
435,277,NULL,1762,1897
436,896,NULL,1762,2881
437,259,NULL,2879,2881
438,63,NULL,2893,2878
439,965,NULL,3370,3393
440,1222,NULL,3370,3395
441,3517,NULL,3370,2244
442,3199,NULL,3275,3373
443,1395,NULL,3375,4380
444,1025,NULL,3375,3395
445,726,NULL,3375,6345
446,1620,NULL,3375,3400
447,1504,NULL,3375,3382
448,1395,NULL,4380,3375
449,1000,NULL,4380,4108
450,813,NULL,4380,3368
451,609,NULL,6342,6345
452,965,NULL,3393,3370
453,662,NULL,3393,3371
454,1271,NULL,3393,4109
455,1707,NULL,3393,3404
456,1328,NULL,3393,3386
457,2554,NULL,3393,3179
458,976,NULL,3393,4085
459,902,NULL,3393,3384
460,651,NULL,3393,3382
461,1521,NULL,3393,4097
462,1429,NULL,3393,3387
463,1188,NULL,3393,3388
464,1464,NULL,3393,3364
465,1461,NULL,3393,3406
466,1300,NULL,3393,4030
467,1063,NULL,3393,3374
468,1261,NULL,3393,4108
469,1558,NULL,3393,2275
470,1432,NULL,3393,3368
471,2313,NULL,3393,3399
472,1398,NULL,3393,6392
473,736,NULL,3393,3376
474,562,NULL,3393,3379
475,1273,NULL,3393,3383
476,869,NULL,3393,6366
477,473,NULL,3393,6361
478,662,NULL,3371,3393
479,936,NULL,3371,3395
480,685,NULL,3371,3385
481,634,NULL,3371,3383
482,1222,NULL,3395,3370
483,1025,NULL,3395,3375
484,936,NULL,3395,3371
485,1169,NULL,3395,6434
486,1351,NULL,3395,4120
487,1344,NULL,3395,6345
488,1276,NULL,3395,3389
489,1580,NULL,3395,3386
490,1351,NULL,3395,3077
491,2565,NULL,3395,3179
492,2204,NULL,3395,3930
493,898,NULL,3395,4085
494,1281,NULL,3395,6380
495,254,NULL,3395,4301
496,1169,NULL,3395,3384
497,632,NULL,3395,3382
498,1196,NULL,3395,6379
499,528,NULL,3395,3394
500,844,NULL,3395,3372
501,616,NULL,3395,6431
502,547,NULL,3395,4033
503,1263,NULL,3395,4097
504,4331,NULL,3395,3156
505,1423,NULL,3395,3388
506,980,NULL,3395,3373
507,1556,NULL,3395,3364
508,1703,NULL,3395,3406
509,1786,NULL,3395,2268
510,1304,NULL,3395,6347
511,1472,NULL,3395,4030
512,1318,NULL,3395,3374
513,1647,NULL,3395,3390
514,825,NULL,3395,7862
515,1409,NULL,3395,4108
516,1804,NULL,3395,2276
517,1833,NULL,3395,2275
518,1545,NULL,3395,3368
519,1127,NULL,3395,3369
520,2071,NULL,3395,3399
521,1665,NULL,3395,6392
522,981,NULL,3395,3376
523,1572,NULL,3395,6390
524,334,NULL,3395,3396
525,622,NULL,3395,3379
526,1548,NULL,3395,3383
527,684,NULL,3395,6366
528,1297,NULL,3395,4149
529,717,NULL,3395,6361
530,1271,NULL,4109,3393
531,1539,NULL,4109,3373
532,1269,NULL,4109,6355
533,1707,NULL,3404,3393
534,445,NULL,3404,4108
535,664,NULL,3404,4149
536,1169,NULL,6434,3395
537,1130,NULL,6434,4144
538,685,NULL,3385,3371
539,494,NULL,3385,3384
540,1351,NULL,4120,3395
541,1560,NULL,4120,3387
542,380,NULL,4120,3373
543,380,NULL,4120,6355
544,726,NULL,6345,3375
545,609,NULL,6345,6342
546,1344,NULL,6345,3395
547,1383,NULL,6345,3384
548,644,NULL,6345,4108
549,1276,NULL,3389,3395
550,1328,NULL,3386,3393
551,1580,NULL,3386,3395
552,1351,NULL,3077,3395
553,961,NULL,3077,6361
554,2554,NULL,3179,3393
555,2565,NULL,3179,3395
556,625,NULL,3366,3400
557,1620,NULL,3400,3375
558,625,NULL,3400,3366
559,1805,NULL,3400,3387
560,1669,NULL,3400,3388
561,1254,NULL,3400,6347
562,1231,NULL,3400,4108
563,2026,NULL,3400,6392
564,1952,NULL,3400,3376
565,1491,NULL,3400,4149
566,2204,NULL,3930,3395
567,976,NULL,4085,3393
568,898,NULL,4085,3395
569,1522,NULL,4085,3372
570,511,NULL,4085,3379
571,1281,NULL,6380,3395
572,541,NULL,6380,3383
573,621,NULL,6432,6431
574,1196,NULL,6386,3394
575,792,NULL,6386,3376
576,254,NULL,4301,3395
577,1065,NULL,3397,3399
578,902,NULL,3384,3393
579,1169,NULL,3384,3395
580,494,NULL,3384,3385
581,1383,NULL,3384,6345
582,549,NULL,3384,3387
583,1347,NULL,3384,4030
584,1504,NULL,3382,3375
585,651,NULL,3382,3393
586,632,NULL,3382,3395
587,441,NULL,3382,3394
588,1921,NULL,3382,3387
589,1905,NULL,3382,4108
590,1861,NULL,3382,2276
591,855,NULL,3382,6403
592,1553,NULL,3382,3383
593,1720,NULL,3382,4149
594,1196,NULL,6379,3395
595,353,NULL,6379,3383
596,528,NULL,3394,3395
597,1196,NULL,3394,6386
598,441,NULL,3394,3382
599,1106,NULL,3394,6431
600,954,NULL,3394,4030
601,1396,NULL,3394,6392
602,1301,NULL,3394,4149
603,844,NULL,3372,3395
604,1522,NULL,3372,4085
605,771,NULL,3372,4030
606,616,NULL,6431,3395
607,621,NULL,6431,6432
608,1106,NULL,6431,3394
609,1408,NULL,6431,4097
610,501,NULL,6431,3379
611,547,NULL,4033,3395
612,1521,NULL,4097,3393
613,1263,NULL,4097,3395
614,1408,NULL,4097,6431
615,1312,NULL,4097,6366
616,884,NULL,6385,3379
617,1533,NULL,6400,4030
618,619,NULL,6400,6366
619,4331,NULL,3156,3395
620,1429,NULL,3387,3393
621,1560,NULL,3387,4120
622,1805,NULL,3387,3400
623,549,NULL,3387,3384
624,1921,NULL,3387,3382
625,1301,NULL,3387,3379
626,1188,NULL,3388,3393
627,1423,NULL,3388,3395
628,1669,NULL,3388,3400
629,1769,NULL,3388,4030
630,3199,NULL,3373,3275
631,980,NULL,3373,3395
632,1539,NULL,3373,4109
633,380,NULL,3373,4120
634,1320,NULL,3373,3205
635,1088,NULL,3373,3376
636,657,NULL,5475,3376
637,1464,NULL,3364,3393
638,1556,NULL,3364,3395
639,1265,NULL,3364,6403
640,1027,NULL,3364,8043
641,1461,NULL,3406,3393
642,1703,NULL,3406,3395
643,3014,NULL,3406,2244
644,1786,NULL,2268,3395
645,1320,NULL,3205,3373
646,1130,NULL,4144,6434
647,1304,NULL,6347,3395
648,1254,NULL,6347,3400
649,3517,NULL,2244,3370
650,3014,NULL,2244,3406
651,1300,NULL,4030,3393
652,1472,NULL,4030,3395
653,1347,NULL,4030,3384
654,954,NULL,4030,3394
655,771,NULL,4030,3372
656,1533,NULL,4030,6400
657,1769,NULL,4030,3388
658,2199,NULL,4030,4108
659,1582,NULL,4030,6392
660,1063,NULL,3374,3393
661,1318,NULL,3374,3395
662,1647,NULL,3390,3395
663,825,NULL,7862,3395
664,1000,NULL,4108,4380
665,1261,NULL,4108,3393
666,1409,NULL,4108,3395
667,445,NULL,4108,3404
668,644,NULL,4108,6345
669,1231,NULL,4108,3400
670,1905,NULL,4108,3382
671,2199,NULL,4108,4030
672,1804,NULL,2276,3395
673,1861,NULL,2276,3382
674,1558,NULL,2275,3393
675,1833,NULL,2275,3395
676,813,NULL,3368,4380
677,1432,NULL,3368,3393
678,1545,NULL,3368,3395
679,1127,NULL,3369,3395
680,2313,NULL,3399,3393
681,2071,NULL,3399,3395
682,1065,NULL,3399,3397
683,2105,NULL,3399,3379
684,491,NULL,3399,6409
685,1398,NULL,6392,3393
686,1665,NULL,6392,3395
687,2026,NULL,6392,3400
688,1396,NULL,6392,3394
689,1582,NULL,6392,4030
690,736,NULL,3376,3393
691,981,NULL,3376,3395
692,1952,NULL,3376,3400
693,792,NULL,3376,6386
694,1088,NULL,3376,3373
695,657,NULL,3376,5475
696,1572,NULL,6390,3395
697,855,NULL,6403,3382
698,1265,NULL,6403,3364
699,334,NULL,3396,3395
700,562,NULL,3379,3393
701,622,NULL,3379,3395
702,511,NULL,3379,4085
703,501,NULL,3379,6431
704,884,NULL,3379,6385
705,1301,NULL,3379,3387
706,2105,NULL,3379,3399
707,649,NULL,3379,6366
708,474,NULL,3379,8043
709,1273,NULL,3383,3393
710,634,NULL,3383,3371
711,1548,NULL,3383,3395
712,541,NULL,3383,6380
713,1553,NULL,3383,3382
714,353,NULL,3383,6379
715,869,NULL,6366,3393
716,684,NULL,6366,3395
717,1312,NULL,6366,4097
718,619,NULL,6366,6400
719,649,NULL,6366,3379
720,1297,NULL,4149,3395
721,664,NULL,4149,3404
722,1491,NULL,4149,3400
723,1720,NULL,4149,3382
724,1301,NULL,4149,3394
725,473,NULL,6361,3393
726,717,NULL,6361,3395
727,961,NULL,6361,3077
728,491,NULL,6409,3399
729,1027,NULL,8043,3364
730,474,NULL,8043,3379
731,1269,NULL,6355,4109
732,380,NULL,6355,4120
733,291,NULL,6839,3832
734,179,NULL,6712,6839
735,210,NULL,6729,7115
736,135,NULL,3417,6712
737,317,NULL,7106,3832
738,286,NULL,3832,3417
739,317,NULL,3832,7106
740,228,NULL,3832,3420
741,68,NULL,3420,7114
742,127,NULL,7114,6729
743,173,NULL,7115,3832
744,1207,NULL,2749,2709
745,199,NULL,5476,2729
746,181,NULL,2705,2709
747,691,NULL,2710,2709
748,289,NULL,2708,2709
749,115,NULL,2708,2713
750,284,NULL,2708,2729
751,1207,NULL,2709,2749
752,181,NULL,2709,2705
753,691,NULL,2709,2710
754,289,NULL,2709,2708
755,279,NULL,2709,2715
756,655,NULL,2709,2714
757,401,NULL,2709,2713
758,207,NULL,2709,6055
759,2460,NULL,2709,3533
760,113,NULL,2709,2724
761,1093,NULL,2709,2728
762,215,NULL,2709,2745
763,494,NULL,2709,2731
764,150,NULL,2709,2733
765,232,NULL,2709,2734
766,176,NULL,2709,2739
767,534,NULL,2709,2706
768,713,NULL,2709,2748
769,297,NULL,2709,2753
770,645,NULL,2709,2755
771,83,NULL,2709,2756
772,279,NULL,2715,2709
773,655,NULL,2714,2709
774,115,NULL,2713,2708
775,401,NULL,2713,2709
776,199,NULL,2729,5476
777,284,NULL,2729,2708
778,206,NULL,2729,2724
779,290,NULL,2729,2731
780,157,NULL,2729,2739
781,130,NULL,2729,2753
782,207,NULL,6055,2709
783,2460,NULL,3533,2709
784,113,NULL,2724,2709
785,206,NULL,2724,2729
786,1093,NULL,2728,2709
787,215,NULL,2745,2709
788,494,NULL,2731,2709
789,290,NULL,2731,2729
790,150,NULL,2733,2709
791,232,NULL,2734,2709
792,176,NULL,2739,2709
793,157,NULL,2739,2729
794,534,NULL,2706,2709
795,713,NULL,2748,2709
796,297,NULL,2753,2709
797,130,NULL,2753,2729
798,645,NULL,2755,2709
799,83,NULL,2756,2709
800,392,NULL,1128,1590
801,392,NULL,1590,1128
802,62,NULL,5965,7214
803,24,NULL,5965,7215
804,62,NULL,7214,5965
805,10,NULL,7215,3423
806,19,NULL,3423,5965
807,2804,NULL,6156,4364
808,625,NULL,2948,2988
809,2168,NULL,6151,2988
810,2804,NULL,4364,6156
811,2360,NULL,4364,2988
812,646,NULL,6143,6140
813,2186,NULL,6143,2988
814,646,NULL,6140,6143
815,1645,NULL,6140,2988
816,1251,NULL,4368,2988
817,715,NULL,7003,2988
818,625,NULL,2988,2948
819,2168,NULL,2988,6151
820,2360,NULL,2988,4364
821,2186,NULL,2988,6143
822,1645,NULL,2988,6140
823,1251,NULL,2988,4368
824,715,NULL,2988,7003
825,1568,NULL,3885,3076
826,239,NULL,3043,3076
827,228,NULL,3069,3076
828,3713,NULL,3069,2188
829,310,NULL,3068,3076
830,1568,NULL,3076,3885
831,239,NULL,3076,3043
832,228,NULL,3076,3069
833,310,NULL,3076,3068
834,3536,NULL,3076,2188
835,5231,NULL,3076,2072
836,145,NULL,3076,3071
837,661,NULL,3076,3125
838,2642,NULL,3076,3304
839,193,NULL,3076,3074
840,3713,NULL,2188,3069
841,3536,NULL,2188,3076
842,5231,NULL,2072,3076
843,145,NULL,3071,3076
844,661,NULL,3125,3076
845,2642,NULL,3304,3076
846,193,NULL,3074,3076
847,872,NULL,2908,2979
848,2961,NULL,4029,2979
849,1944,NULL,2188,2979
850,1698,NULL,2188,2072
851,872,NULL,2979,2908
852,2961,NULL,2979,4029
853,1944,NULL,2979,2188
854,4825,NULL,2979,340
855,3400,NULL,2979,1701
856,2623,NULL,2979,4374
857,2388,NULL,2979,2990
858,200,NULL,2979,6147
859,3580,NULL,2979,2948
860,1802,NULL,2979,2991
861,2107,NULL,2979,2975
862,4825,NULL,340,2979
863,2314,NULL,6138,6147
864,3400,NULL,1701,2979
865,1698,NULL,2072,2188
866,2427,NULL,4374,6147
867,2546,NULL,2960,2979
868,2388,NULL,2990,2979
869,2272,NULL,2990,6147
870,200,NULL,6147,2979
871,2314,NULL,6147,6138
872,2427,NULL,6147,4374
873,2272,NULL,6147,2990
874,3477,NULL,6147,2948
875,1903,NULL,6147,4078
876,1687,NULL,6147,2991
877,1947,NULL,6147,2975
878,1913,NULL,6147,4111
879,3580,NULL,2948,2979
880,3477,NULL,2948,6147
881,1903,NULL,4078,6147
882,1802,NULL,2991,2979
883,1687,NULL,2991,6147
884,2107,NULL,2975,2979
885,1947,NULL,2975,6147
886,1913,NULL,4111,6147
887,1665,NULL,3399,2979
888,383,NULL,5498,128
889,383,NULL,128,5498
890,8533,NULL,3670,3988
891,8533,NULL,3988,3670
892,8534,NULL,3988,3797
893,7118,NULL,3988,3576
894,6026,NULL,3988,1760
895,8534,NULL,3797,3988
896,7118,NULL,3576,3988
897,1466,NULL,3576,1760
898,6026,NULL,1760,3988
899,1466,NULL,1760,3576
900,536,NULL,42,54
901,393,NULL,42,97
902,425,NULL,42,176
903,1528,NULL,49,176
904,536,NULL,54,42
905,277,NULL,54,97
906,393,NULL,97,42
907,277,NULL,97,54
908,1483,NULL,156,176
909,425,NULL,176,42
910,1483,NULL,176,156
911,1677,NULL,176,178
912,246,NULL,178,49
913,306,NULL,1783,1824
914,287,NULL,1783,1850
915,1408,NULL,1794,1824
916,1543,NULL,1796,1824
917,769,NULL,1789,1824
918,1134,NULL,1793,1824
919,1048,NULL,1792,1824
920,1708,NULL,1852,1804
921,1284,NULL,1852,1824
922,1448,NULL,1852,1825
923,1337,NULL,1852,1850
924,1244,NULL,1797,1824
925,1274,NULL,1800,1824
926,1708,NULL,1804,1852
927,459,NULL,1804,1824
928,669,NULL,1804,1825
929,723,NULL,1804,1840
930,1902,NULL,1804,1847
931,413,NULL,1804,1850
932,1056,NULL,1767,1824
933,1770,NULL,1909,1824
934,1618,NULL,1807,1824
935,504,NULL,1786,1824
936,306,NULL,1824,1783
937,1408,NULL,1824,1794
938,1543,NULL,1824,1796
939,769,NULL,1824,1789
940,1134,NULL,1824,1793
941,1048,NULL,1824,1792
942,1284,NULL,1824,1852
943,1244,NULL,1824,1797
944,1274,NULL,1824,1800
945,459,NULL,1824,1804
946,1056,NULL,1824,1767
947,1770,NULL,1824,1909
948,1618,NULL,1824,1807
949,504,NULL,1824,1786
950,996,NULL,1824,1819
951,713,NULL,1824,1825
952,660,NULL,1824,1836
953,1124,NULL,1824,3621
954,1177,NULL,1824,1840
955,341,NULL,1824,1848
956,714,NULL,1824,1846
957,2301,NULL,1824,1847
958,304,NULL,1824,1854
959,677,NULL,1824,1853
960,324,NULL,1824,1856
961,996,NULL,1819,1824
962,1448,NULL,1825,1852
963,669,NULL,1825,1804
964,713,NULL,1825,1824
965,1015,NULL,1825,1840
966,718,NULL,1825,1850
967,660,NULL,1836,1824
968,612,NULL,1836,1850
969,1124,NULL,3621,1824
970,1139,NULL,3621,1850
971,723,NULL,1840,1804
972,1177,NULL,1840,1824
973,1015,NULL,1840,1825
974,1134,NULL,1840,1850
975,341,NULL,1848,1824
976,714,NULL,1846,1824
977,1902,NULL,1847,1804
978,2301,NULL,1847,1824
979,287,NULL,1850,1783
980,1337,NULL,1850,1852
